data;store_id;sku;qty
03/08/2019;9999999;787270050002;16;
03/08/2019;9999999;787271020004;25;
03/08/2019;9999999;7910923K0009;4;
03/08/2019;9999999;7927122V2046;1;
03/08/2019;9999999;794446832058;1;
03/08/2019;9999999;794446FG2052;1;
03/08/2019;9999999;794446FG2069;1;
03/08/2019;9999999;794446FG3204;1;
03/08/2019;9999999;794446FG3211;1;
03/08/2019;9999999;794725020008;2;
03/08/2019;9999999;795387FP2023;14;
03/08/2019;9999999;795387FP2030;12;
03/08/2019;9999999;795389022032;17;
03/08/2019;9999999;7953924D2032;5;
03/08/2019;9999999;795393022035;26;
03/08/2019;9999999;795393022042;7;
03/08/2019;9999999;795394HP2027;10;
03/08/2019;9999999;795394HP2034;32;
03/08/2019;9999999;795406052042;1;
03/08/2019;9999999;7954060Q2022;3;
03/08/2019;9999999;7954060Q2039;3;
03/08/2019;9999999;7954060Q2046;5;
03/08/2019;9999999;7954060Q2053;2;
03/08/2019;9999999;797839022029;13;
03/08/2019;9999999;797839022036;8;
03/08/2019;9999999;798559310380;3;
03/08/2019;9999999;798559310397;6;
03/08/2019;9999999;798559310403;1;
03/08/2019;9999999;798559310427;8;
03/08/2019;9999999;798559310434;7;
03/08/2019;9999999;798559310441;4;
03/08/2019;9999999;798559510384;1;
03/08/2019;9999999;798559510391;2;
03/08/2019;9999999;798559510407;3;
03/08/2019;9999999;798559510421;3;
03/08/2019;9999999;798559510438;3;
03/08/2019;9999999;798559510445;1;
03/08/2019;9999999;798797020355;1;
03/08/2019;9999999;798797LZ0359;4;
03/08/2019;9999999;798797LZ0366;3;
03/08/2019;9999999;798797LZ0397;2;
03/08/2019;9999999;798797LZ0403;2;
03/08/2019;9999999;799233012213;1;
03/08/2019;9999999;800184022023;7;
03/08/2019;9999999;800184022047;3;
03/08/2019;9999999;800189032027;2;
03/08/2019;9999999;801499022029;2;
03/08/2019;9999999;801499022036;4;
03/08/2019;9999999;801499022043;6;
03/08/2019;9999999;801499022050;3;
03/08/2019;9999999;801499052026;3;
03/08/2019;9999999;801499052033;6;
03/08/2019;9999999;801499052040;2;
03/08/2019;9999999;801499052057;3;
03/08/2019;9999999;8014993W2029;1;
03/08/2019;9999999;8014993W2036;2;
03/08/2019;9999999;8014993W2043;1;
03/08/2019;9999999;801499NL2038;3;
03/08/2019;9999999;801499NL2052;2;
03/08/2019;9999999;801499TR2025;1;
03/08/2019;9999999;801499TR2032;1;
03/08/2019;9999999;801499TR2056;1;
03/08/2019;9999999;801823050100;2;
03/08/2019;9999999;802819NM2032;3;
03/08/2019;9999999;803383010006;9;
03/08/2019;9999999;803383020005;18;
03/08/2019;9999999;803383030004;3;
03/08/2019;9999999;803383050002;9;
03/08/2019;9999999;803384010005;6;
03/08/2019;9999999;803384020004;25;
03/08/2019;9999999;803678EZ0003;1;
03/08/2019;9999999;803681040002;3;
